producto,marca,formato,cantidad,precio,supermercado,categoría,id_producto
"Manzana golden",Dia,Bolsa,"1 Kg",1.99,Dia,"Fruta y verduras",1
"Manzana roja",Dia,Bolsa,"1 Kg",2.19,Dia,"Fruta y verduras",2
"Manzana pink lady",Dia,Bandeja,"550 g",1.99,Dia,"Fruta y verduras",3
"Manzana golden",Dia,Granel,"1 Kg",2.19,Dia,"Fruta y verduras",4
"Manzana granny",Dia,Granel,"800 g",1.75,Dia,"Fruta y verduras",5
"Manzana fuji",Dia,Bolsa,"1 Kg",2.29,Dia,"Fruta y verduras",6
"Manzana roja selección",Dia,Granel,"1 Kg",2.69,Dia,"Fruta y verduras",7
"Bebida espirituosa tipo brandy",Gladiador,Botella,"1 l",5.99,Dia,"Bebidas con alcohol",8
Brandy,Veterano,Botella,"1 l",9.35,Dia,"Bebidas con alcohol",9
"Brandy de Jerez solera reserva",Magno,Botella,"70 cl",11.99,Dia,"Bebidas con alcohol",10
"Brandy de Jerez solera",Gladiador,Botella,"70 cl",6.79,Dia,"Bebidas con alcohol",11
Brandy,Centenario,Botella,"1 l",9.49,Dia,"Bebidas con alcohol",12
"Brandy de Jerez",Soberano,Botella,"70 cl",7.99,Dia,"Bebidas con alcohol",13
Brandy,Torres,Botella,"  70 cl",10.5,Dia,"Bebidas con alcohol",14
"Brandy de Jerez solera gran reserva","Alma de magno",Botella,"70 cl",16.79,Dia,"Bebidas con alcohol",15
"Huevos super grandes XL",Hacendado,Paquete,"12 ud.",3.25,Mercadona,Huevos,16
"Huevos grandes L",Hacendado,Paquete,"12 ud.",2.2,Mercadona,Huevos,17
"Huevos grandes L",Hacendado,Paquete,"6 ud.",1.2,Mercadona,Huevos,18
"Huevos medianos M",Hacendado,Paquete,"12 ud.",2,Mercadona,Huevos,19
"Huevos de gallinas camperas",Hacendado,Paquete,"12 ud.",2.62,Mercadona,Huevos,20
"Huevos de gallinas camperas",Hacendado,Paquete,"6 ud.",1.59,Mercadona,Huevos,21
"Huevos cocidos",Hacendado,Paquete,"6 ud.",1.6,Mercadona,Huevos,22
"Huevos de codorniz",Hacendado,Paquete,"18 ud.",1.65,Mercadona,Huevos,23
"Claras de huevo líquidas pasteurizadas",Hacendado,Botella,"1 L",2.6,Mercadona,Huevos,24
"Claras de huevo líquidas pasteurizadas",Hacendado,Botella,"300 ml",1.55,Mercadona,Huevos,25
Huevos,Hacendado,Paquete,"24 ud.",3.8,Mercadona,Huevos,26
"Cerveza extra malta",Ramblers,Lata,"33 cl",0.53,Dia,"Bebidas con alcohol",27
"Cerveza tostada",Ramblers,Lata,"33 cl",0.49,Dia,"Bebidas con alcohol",28
"Cerveza de trigo",Ramblers,Botella,"50 cl",1.05,Dia,"Bebidas con alcohol",29
"Cerveza muy suave",Ramblers,Botella,"33 cl",0.89,Dia,"Bebidas con alcohol",30
Cerveza,Ramblers,Lata,"  33 cl",0.45,Dia,"Bebidas con alcohol",31
"Cerveza doble malta","Voll Damm",Lata,"33 cl",0.99,Dia,"Bebidas con alcohol",32
"Cerveza mexicana",Corona,Botella,"35.5 cl",1.5,Dia,"Bebidas con alcohol",33
"Cerveza reserva",Alhambra,Botella,"  4 x 33 cl",5.89,Dia,"Bebidas con alcohol",34
"Cerveza reserva",Alhambra,Botella,"  6 x 225 ml",5.99,Dia,"Bebidas con alcohol",35
"Cerveza con tequila",Desperados,Botella,"33 cl",1.49,Dia,"Bebidas con alcohol",36
"Cerveza especial blue",Salitos,Botella,"33 cl",1.75,Dia,"Bebidas con alcohol",37
Cerveza,Franz,Botella,"50 cl",1.86,Dia,"Bebidas con alcohol",38
"Cerveza especial negra",Ramblers,Lata,"33 cl",0.53,Dia,"Bebidas con alcohol",39
"Cerveza de trigo alemana",Paulaner,Botella,"50 cl",1.99,Dia,"Bebidas con alcohol",40
"Cerveza reserva especial",1906,Botella,"6 x 33 cl",7.29,Dia,"Bebidas con alcohol",41
"Cerveza artesana",Ramblers,Botella,"33 cl",0.93,Dia,"Bebidas con alcohol",42
"Cerveza tostada doble lúpulo  Maestra",Mahou,Lata,"33 cl",1,Dia,"Bebidas con alcohol",43
"Cerveza rosé",Mahou,Lata,"33 cl",0.89,Dia,"Bebidas con alcohol",44
"Cerveza artesana ipa",Ramblers,Botella,"33 cl",1.3,Dia,"Bebidas con alcohol",45
Cerveza,Budweiser,Botella,"6 x 25 cl",4.69,Dia,"Bebidas con alcohol",46
Cerveza,Ambar,Botella,"  33 cl",1.49,Dia,"Bebidas con alcohol",47
Cerveza,Budweiser,Lata,"33 cl",0.95,Dia,"Bebidas con alcohol",48
"Cerveza tostada doble lúpulo  Maestra pack",Mahou,Frasco,"6 x 25 cl",5.55,Dia,"Bebidas con alcohol",49
"Cerveza ipa",Ambar,Lata,"33 cl",1.29,Dia,"Bebidas con alcohol",50
"Cerveza rubia","Pilsner Urquell",Lata,"33 cl",1.39,Dia,"Bebidas con alcohol",51
"Cerveza morena tostada suavemente",Ambar,Lata,"33 cl",0.95,Dia,"Bebidas con alcohol",52
"Cerveza especial","La rubia",Botella,"  33 cl",1.17,Dia,"Bebidas con alcohol",53
